Resriction,Predictions,NA_SA,AF_EUR,AS_OC,Total Accuracy,Total Predictions
using top 1,"[1.0, 3.0, 5.0]",100.0,100.0,100.0,100.0,9.0
using top 3,"[1.0, 3.0, 5.0]",100.0,100.0,100.0,100.0,9.0
using weight > 50,"[1.0, 3.0, 5.0]",100.0,100.0,100.0,100.0,9.0
all,"[1.0, 3.0, 5.0]",100.0,100.0,100.0,100.0,9.0
