Resriction,Predictions,NA_SA,AF_EUR,AS_OC,Total Accuracy,Total Predictions
using top 1,"[2267.0, 365.0, 525.0]",64.49,76.16,88.76,69.88,3157.0
using top 3,"[2267.0, 365.0, 525.0]",55.32,75.07,88.38,63.1,3157.0
using weight > 50,"[2267.0, 365.0, 525.0]",59.51,78.9,87.62,66.42,3157.0
all,"[2267.0, 365.0, 525.0]",56.64,94.79,80.76,65.06,3157.0
