Resriction,Predictions,NA_SA,AF_EUR,AS_OC,Total Accuracy,Total Predictions
using top 1,"[2188.0, 360.0, 491.0]",78.29,84.72,83.1,79.83,3039.0
using top 3,"[2188.0, 360.0, 491.0]",80.94,87.5,84.73,82.33,3039.0
using weight > 50,"[2188.0, 360.0, 491.0]",84.32,90.83,84.11,85.06,3039.0
all,"[2188.0, 360.0, 491.0]",90.81,94.17,89.0,90.92,3039.0
