keyword,using top 1,using top 3,using weight > 50,all
#ahora,Americas,Americas,Americas,Americas
@cnnbrk,Americas,Americas,Americas,Americas
#handeerçel,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@g1,Americas,Americas,Americas,Americas
@seanhannity,Americas,Americas,Americas,Americas
@republic,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@ndtv,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@suleymansoylu,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@imrankhanpti,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@llinwood,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@marceelias,Americas,Americas,Americas,Americas
@pastorlocke,Americas,Americas,Americas,Americas
@arvindkejriwal,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@nhk_news,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@senschumer,Americas,Americas,Americas,Americas
#السعودية,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@beingsalmankhan,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@itsssr,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@espn,Americas,Americas,Americas,Americas
@brozoxmiswebs,Americas,Americas,Americas,Americas
#كورونا,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@foxnews,Americas,Americas,Americas,Americas
@realdonaldtrump,Americas,Americas,Americas,Africa_Europe
@randpaul,Americas,Americas,Americas,Americas
@genflynn,Americas,Americas,Americas,Americas
@maspiyuo,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@flotus,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@bettemidler,Americas,Americas,Americas,Americas
@sportscenter,Americas,Americas,Americas,Americas
#farmers,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@joncoopertweets,Americas,Americas,Americas,Americas
@govrondesantis,Americas,Americas,Americas,Americas
@realmattcouch,Americas,Americas,Americas,Americas
#bbrightvc,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@alferdez,Americas,Americas,Americas,Americas
@06melihgokcek,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@prayingmedic,Americas,Americas,Americas,Americas
@roncoleman,Americas,Americas,Americas,Americas
@nicolasmaduro,Americas,Americas,Americas,Americas
@donaldjtrumpjr,Americas,Americas,Americas,Americas
#brexit,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@georgetakei,Americas,Americas,Americas,Americas
@barstoolsports,Americas,Americas,Americas,Americas
@wetheinevitable,Americas,Americas,Americas,Americas
@bjp4india,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@ashokgehlot51,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@tribelaw,Americas,Americas,Americas,Americas
@ekrem_imamoglu,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@politico,Americas,Americas,Americas,Americas
@emmanuelmacron,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
#cuba,Americas,Americas,Americas,Americas
#rubinadilaik,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@realcandaceo,Americas,Americas,Americas,Americas
#corona,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@lindseygrahamsc,Americas,Americas,Americas,Americas
@atrupar,Americas,Americas,Americas,Americas
@browns,Americas,Americas,Americas,Americas
@carnetdlapatria,Americas,Americas,Americas,Americas
@folha,Americas,Americas,Americas,Americas
@fadlizon,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@maggienyt,Americas,Americas,Americas,Americas
@jdoriajr,Americas,Americas,Americas,Americas
@alfredodelmazo,Americas,Americas,Americas,Americas
@claudialopez,Americas,Americas,Americas,Americas
@ossoff,Americas,Americas,Americas,Americas
@wsj,Americas,Americas,Americas,Americas
@catturd2,Americas,Americas,Americas,Americas
@ikamalhaasan,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@leopoldolopez,Americas,Americas,Americas,Americas
@parlertakes,Americas,Americas,Americas,Americas
@mazinnamdikanu,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@mtgreenee,Americas,Americas,Americas,Americas
@aoc,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@nygovcuomo,Americas,Americas,Americas,Americas
#endsars,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@sentedcruz,Americas,Americas,Americas,Americas
@kylekashuv,Americas,Americas,Americas,Americas
@colorstv,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@wizard_predicts,Americas,Americas,Americas,Americas
@jackposobiec,Americas,Americas,Americas,Americas
@joyannreid,Americas,Americas,Americas,Americas
#got7,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@gatewaypundit,Americas,Americas,Americas,Americas
@beholdisrael,Americas,Americas,Americas,Americas
@potus,Asia_Australia,Asia_Australia,Asia_Australia,Africa_Europe
@suriya_offl,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@tracybeanz,Americas,Americas,Americas,Americas
#bbtvi,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@kylegriffin1,Americas,Americas,Americas,Americas
@angry_staffer,Americas,Americas,Americas,Americas
#winmetawin,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@cfkargentina,Americas,Americas,Americas,Americas
@mollyjongfast,Americas,Americas,Americas,Americas
@funder,Americas,Americas,Americas,Americas
@inthematrixxx,Americas,Americas,Americas,Americas
#sençalkapımı,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
#thalapathy65,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#biggboss14,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@newtgingrich,Americas,Americas,Americas,Americas
@berniesanders,Americas,Americas,Americas,Americas
@dcabellor,Americas,Americas,Americas,Americas
@emeraldrobinson,Americas,Americas,Americas,Americas
@washingtonpost,Americas,Americas,Americas,Americas
#afazenda,Americas,Americas,Americas,Americas
#bambam,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@tonicanto1,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@bambam1a,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#twice,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@redsteeze,Americas,Americas,Americas,Americas
#dominion,Americas,Americas,Americas,Americas
@steelers,Americas,Americas,Americas,Americas
@nayibbukele,Americas,Americas,Americas,Americas
@maximus_4evr,Americas,Americas,Americas,Americas
#georgia,Africa_Europe,Americas,Africa_Europe,Americas
@bleacherreport,Americas,Americas,Americas,Americas
@speakerpelosi,Americas,Americas,Americas,Americas
@iamsrk,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@narendramodi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@incindia,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
#thalaajith,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@bfmtv,Africa_Europe,Africa_Europe,Africa_Europe,Africa_Europe
@petrogustavo,Americas,Americas,Americas,Americas
@dineshdsouza,Americas,Americas,Americas,Americas
@luscas,Americas,Americas,Americas,Americas
@gopchairwoman,Americas,Americas,Americas,Americas
#sidharthshukla,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@jokowi,Asia_Australia,Asia_Australia,Asia_Australia,Asia_Australia
@kingjames,Americas,Americas,Americas,Americas
@gregkellyusa,Americas,Americas,Americas,Americas
@mattwalshblog,Americas,Americas,Americas,Americas
