id,label,Americas,Africa_Europe,Asia_Australia,ratioAmericas,ratioAfrica_Europe,ratioAsia_Australia,ratioMax,total
팔로우,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
examen,Africa_Europe,0,4,0,0.0,1.0,0.0,1.0,4
ração,Americas,1,0,0,1.0,0.0,0.0,1.0,1
fir,Asia_Australia,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.5,12
shoutout,Americas,13,0,0,1.0,0.0,0.0,1.0,13
fit,Americas,79,18,4,0.7821782178217822,0.1782178217821782,0.039603960396039604,0.7821782178217822,101
fiz,Americas,67,2,0,0.9710144927536232,0.028985507246376812,0.0,0.9710144927536232,69
rankings,Americas,4,0,0,1.0,0.0,0.0,1.0,4
fix,Americas,23,6,12,0.5609756097560976,0.14634146341463414,0.2926829268292683,0.5609756097560976,41
کرنا,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
ruta,Americas,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,6
bundan,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
fic,Americas,3,1,0,0.75,0.25,0.0,0.75,4
fia,Americas,5,0,0,1.0,0.0,0.0,1.0,5
gimana,Asia_Australia,0,0,21,0.0,0.0,1.0,1.0,21
wales,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
hidden,Africa_Europe,3,4,2,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.4444444444444444,9
fin,Americas,49,24,2,0.6533333333333333,0.32,0.02666666666666667,0.6533333333333333,75
fio,Americas,7,1,0,0.875,0.125,0.0,0.875,8
fil,Africa_Europe,0,2,0,0.0,1.0,0.0,1.0,2
fim,Americas,60,3,0,0.9523809523809523,0.047619047619047616,0.0,0.9523809523809523,63
میرا,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
günaydın,Africa_Europe,0,72,0,0.0,1.0,0.0,1.0,72
yorum,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
slate,Americas,1,1,0,0.5,0.5,0.0,0.5,2
ptdrrrr,Africa_Europe,0,2,0,0.0,1.0,0.0,1.0,2
kemaren,Asia_Australia,0,0,2,0.0,0.0,1.0,1.0,2
rara,Americas,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,9
يعمل,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
hazır,Africa_Europe,0,3,0,0.0,1.0,0.0,1.0,3
ابن,Africa_Europe,0,12,0,0.0,1.0,0.0,1.0,12
3-1,Africa_Europe,1,5,0,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,6
brasileira,Americas,4,0,0,1.0,0.0,0.0,1.0,4
effects,Americas,14,2,3,0.7368421052631579,0.10526315789473684,0.15789473684210525,0.7368421052631579,19
لانه,Africa_Europe,0,8,0,0.0,1.0,0.0,1.0,8
schools,Americas,19,11,1,0.6129032258064516,0.3548387096774194,0.03225806451612903,0.6129032258064516,31
baking,Americas,10,2,0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,12
brasileiro,Americas,19,0,0,1.0,0.0,0.0,1.0,19
blink,Africa_Europe,1,2,0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,3
ابو,Africa_Europe,0,16,0,0.0,1.0,0.0,1.0,16
silver,Americas,10,2,0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,12
ابي,Africa_Europe,0,14,0,0.0,1.0,0.0,1.0,14
represents,Americas,2,0,0,1.0,0.0,0.0,1.0,2
nawet,Africa_Europe,0,3,0,0.0,1.0,0.0,1.0,3
cierre,Americas,3,2,0,0.6,0.4,0.0,0.6,5
capricorn,Americas,6,0,0,1.0,0.0,0.0,1.0,6
debut,Americas,7,1,0,0.875,0.125,0.0,0.875,8
cukup,Asia_Australia,0,0,13,0.0,0.0,1.0,1.0,13
chocada,Americas,7,0,0,1.0,0.0,0.0,1.0,7
até,Americas,290,6,0,0.9797297297297297,0.02027027027027027,0.0,0.9797297297297297,296
ไทย,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
representa,Americas,4,2,0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,6
coronavirus,Americas,23,4,6,0.696969696969697,0.12121212121212122,0.18181818181818182,0.696969696969697,33
addicted,Americas,5,0,1,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,6
bala,Americas,8,3,4,0.5333333333333333,0.2,0.26666666666666666,0.5333333333333333,15
arroz,Americas,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,6
#folklore,Americas,4,1,0,0.8,0.2,0.0,0.8,5
toll,Africa_Europe,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,7
フォロバありがとうございます,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@govwhitmer,Americas,4,0,0,1.0,0.0,0.0,1.0,4
financial,Americas,13,5,4,0.5909090909090909,0.22727272727272727,0.18181818181818182,0.5909090909090909,22
tenia,Americas,5,3,0,0.625,0.375,0.0,0.625,8
series,Americas,57,23,5,0.6705882352941176,0.27058823529411763,0.058823529411764705,0.6705882352941176,85
değilim,Africa_Europe,0,9,0,0.0,1.0,0.0,1.0,9
allah,Africa_Europe,4,129,55,0.02127659574468085,0.6861702127659575,0.2925531914893617,0.6861702127659575,188
coward,Americas,2,0,0,1.0,0.0,0.0,1.0,2
معنا,Africa_Europe,0,6,0,0.0,1.0,0.0,1.0,6
@rconstantino,Americas,3,1,0,0.75,0.25,0.0,0.75,4
we'd,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
"2,500",Africa_Europe,0,1,1,0.0,0.5,0.5,0.5,2
mdr,Africa_Europe,0,21,0,0.0,1.0,0.0,1.0,21
mds,Americas,61,0,0,1.0,0.0,0.0,1.0,61
@almosahf,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
aurais,Africa_Europe,0,3,0,0.0,1.0,0.0,1.0,3
aurait,Africa_Europe,2,4,0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,6
ring,Americas,19,4,2,0.76,0.16,0.08,0.76,25
whip,Americas,6,2,0,0.75,0.25,0.0,0.75,8
@repmattgaetz,Americas,7,0,0,1.0,0.0,0.0,1.0,7
@theriseofrod,Americas,2,0,0,1.0,0.0,0.0,1.0,2
maluco,Americas,34,0,0,1.0,0.0,0.0,1.0,34
takım,Africa_Europe,0,9,0,0.0,1.0,0.0,1.0,9
haben,Africa_Europe,0,20,0,0.0,1.0,0.0,1.0,20
555555,Asia_Australia,0,0,5,0.0,0.0,1.0,1.0,5
varken,Africa_Europe,0,7,0,0.0,1.0,0.0,1.0,7
عشق,Africa_Europe,0,5,1,0.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,6
sms,Africa_Europe,2,6,2,0.2,0.6,0.2,0.6,10
smp,Americas,22,0,3,0.88,0.0,0.12,0.88,25
toute,Africa_Europe,1,11,0,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,12
encourage,Africa_Europe,2,7,2,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.6363636363636364,11
smh,Americas,66,7,2,0.88,0.09333333333333334,0.02666666666666667,0.88,75
#뱀뱀,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@o_antagonista,Americas,7,0,0,1.0,0.0,0.0,1.0,7
engineer,Americas,9,2,2,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.6923076923076923,13
clases,Americas,6,2,0,0.75,0.25,0.0,0.75,8
sma,Asia_Australia,1,2,7,0.1,0.2,0.7,0.7,10
goles,Americas,10,3,0,0.7692307692307693,0.23076923076923078,0.0,0.7692307692307693,13
kkkkkkkk,Americas,123,2,0,0.984,0.016,0.0,0.984,125
foundation,Americas,6,4,5,0.4,0.26666666666666666,0.3333333333333333,0.4,15
bunları,Africa_Europe,0,6,0,0.0,1.0,0.0,1.0,6
bigla,Asia_Australia,0,0,6,0.0,0.0,1.0,1.0,6
