Resriction,Predictions,NA_SA,AF_EUR,AS_OC,Total Accuracy,Total Predictions
using top 1,"[2188.0, 360.0, 491.0]",78.29,84.72,83.1,79.83,3039.0
using top 3,"[2188.0, 360.0, 491.0]",80.58,86.94,83.5,81.8,3039.0
using weight > 50,"[2188.0, 360.0, 491.0]",84.14,90.83,83.91,84.9,3039.0
all,"[2188.0, 360.0, 491.0]",88.07,92.78,85.54,88.22,3039.0
