Resriction,Predictions,NA_SA,AF_EUR,AS_OC,Total Accuracy,Total Predictions
using top 1,"[161.0, 28.0, 52.0]",95.03,92.86,100.0,95.85,241.0
using top 3,"[161.0, 28.0, 52.0]",95.65,92.86,100.0,96.27,241.0
using weight > 50,"[161.0, 28.0, 52.0]",95.03,92.86,100.0,95.85,241.0
all,"[161.0, 28.0, 52.0]",95.03,92.86,100.0,95.85,241.0
