Resriction,Predictions,NA_SA,AF_EUR,AS_OC,Total Accuracy,Total Predictions
using top 1,"[2255.0, 363.0, 521.0]",64.57,76.31,89.44,70.05,3139.0
using top 3,"[2247.0, 338.0, 518.0]",55.45,78.4,89.38,63.62,3103.0
using weight > 50,"[2223.0, 315.0, 517.0]",59.56,79.68,88.78,66.58,3055.0
all,"[1257.0, 152.0, 406.0]",47.49,98.68,90.15,61.32,1815.0
